Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_production
Panama,Arabica,12900,11580,11820,8520,14880,12540,12660,13020,11520,9960,10200,9600,8400,10320,5400,10560,10380,10560,8940,8280,6840,6360,6960,6780,6360,7620,7200,6300,7680,6840,280980
Sierra Leone,Robusta,2580,3240,2340,2220,4380,2640,2460,3000,1620,3540,2940,4740,2520,2160,900,3600,1860,2400,5160,5460,1980,4680,3660,1920,2760,2760,2280,2280,2700,2400,87180
Sri Lanka,Robusta/Arabica,5760,4920,3180,3240,2520,2160,2220,3480,2760,1920,1980,1920,2040,2220,1920,2100,1980,1980,1860,1920,2220,2160,2100,2220,2160,2160,2220,2220,2160,2160,73860
Thailand,Robusta/Arabica,45420,88140,75300,76500,83940,79020,84240,77580,54960,76380,101520,42840,43920,49620,53040,63840,49320,39000,40500,47700,49680,49860,36480,38280,50700,45720,32280,38280,28920,31020,1674000
Togo,Robusta,9660,25980,5160,11700,10560,5040,17460,13260,19260,15780,11820,6720,4080,8640,9960,8400,8040,7500,8280,12120,9600,9600,5040,10320,8580,4860,1380,6900,3240,2460,281400
Trinidad & Tobago,Robusta,900,1080,840,960,1080,1080,1080,1140,1020,1020,960,960,1020,960,900,900,720,720,660,660,600,660,720,720,720,720,720,720,780,720,25740
Uganda,Robusta/Arabica,117300,125280,131100,188520,143580,194640,205140,206400,203160,171720,204060,189480,173400,155940,156780,130500,173640,209400,200100,173640,196020,186900,234840,217980,224640,219000,297720,275820,282240,330540,5919480
Venezuela,Arabica,67320,56460,72900,79980,59340,88020,72360,57060,95820,82020,87000,75900,89040,85260,79620,90360,94260,91200,55920,72840,72120,54120,57120,48240,39000,30000,31500,34320,34680,39000,1992780
Viet Nam,Robusta/Arabica,78600,86280,140400,181200,217920,238200,345120,418740,423120,697860,890460,785580,694440,920220,862200,830520,1160400,984300,1106280,1069500,1200000,1590000,1404120,1656600,1634460,1865400,1669140,2005920,1816980,1829220,28803180
Yemen,Arabica,0,0,0,0,0,0,0,0,4140,3660,3840,3720,3420,11580,12360,12180,12420,11880,13200,8100,9660,11100,11280,11220,10680,9360,8580,7920,5160,5460,190920
